crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10329,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.416666666666666
Crew_10330,5,0,0,0,0,0,0,0,0,0,0,0,0,3,11.716666666666667
Crew_10332,7,0,0,0,0,0,0,0,0,0,0,0,0,1,6.016666666666667
Crew_10333,5,0,0,0,0,0,0,0,0,0,0,0,0,2,10.65
Crew_10334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10335,4,0,0,0,0,0,0,0,0,0,1,0,0,5,16.5
Crew_10336,3,0,0,0,0,0,0,0,0,0,0,0,0,4,12.816666666666666
Crew_10337,5,0,0,0,0,0,0,0,0,0,0,0,0,4,17.75
Crew_10338,5,0,0,0,0,0,0,0,0,0,0,0,0,4,17.883333333333333
Crew_10341,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.566666666666666
Crew_10342,7,0,0,0,0,0,0,0,0,0,0,0,0,3,12.883333333333333
Crew_10343,5,0,0,0,0,0,0,0,0,0,0,0,0,3,16.549999999999997
Crew_10344,5,0,0,0,0,0,0,0,0,0,0,0,0,4,13.649999999999999
Crew_10345,7,0,0,0,0,0,0,0,0,0,0,0,0,3,15.783333333333335
Crew_10346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10347,6,0,0,0,0,0,0,0,0,0,0,0,0,4,17.516666666666666
Crew_10348,5,0,0,0,0,0,0,0,0,0,0,0,0,3,13.399999999999999
Crew_10350,7,0,0,0,0,0,0,0,0,0,0,0,0,4,16.766666666666666
Crew_10351,4,0,0,0,0,0,0,0,0,0,0,0,0,3,17.716666666666665
Crew_10352,6,0,0,0,0,0,0,0,0,0,0,0,0,4,13.416666666666668
Crew_10353,5,0,0,1,0,0,0,0,0,0,0,0,0,4,20.516666666666666
Crew_10354,5,0,0,0,0,0,0,0,0,0,0,0,0,4,20.516666666666666
Crew_10355,5,0,0,0,0,0,0,0,0,0,0,0,0,4,15.516666666666666
Crew_10356,5,0,0,0,0,0,0,0,0,0,1,0,0,5,12.666666666666666
Crew_10357,2,0,0,0,0,0,0,0,0,0,0,0,0,2,14.133333333333333
Crew_10359,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7.233333333333333
Crew_10361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10362,7,0,0,0,0,0,0,0,0,0,0,0,0,4,19.733333333333334
Crew_10363,3,0,0,0,0,0,0,0,0,0,0,0,0,4,17.683333333333334
Crew_10364,5,0,0,0,0,0,0,0,0,0,0,0,0,4,22.083333333333336
Crew_10365,6,0,0,0,0,0,0,0,0,0,0,0,0,4,15.133333333333333
Crew_10366,3,0,0,0,0,0,0,0,0,0,0,0,0,4,21.083333333333332
Crew_10367,6,0,0,0,0,0,0,0,0,0,0,0,0,4,21.833333333333336
Crew_10368,4,0,0,0,0,0,0,0,0,0,0,0,0,3,13.950000000000001
Crew_10369,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.383333333333333
Crew_10370,4,0,0,0,0,0,0,0,0,0,0,0,0,4,19.483333333333334
Crew_10371,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8.266666666666666
Crew_10372,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.416666666666667
Crew_10373,5,0,0,3,0,0,0,0,0,0,0,0,0,3,13.316666666666666
Crew_10374,2,0,0,0,0,0,0,0,0,0,0,0,0,5,20.4
Crew_10375,6,0,0,0,0,0,0,0,0,0,0,0,0,3,12.983333333333333
Crew_10376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10378,2,0,0,2,0,0,0,0,0,1,1,0,0,5,23.016666666666666
Crew_10380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10384,1,0,0,0,0,0,0,0,0,0,0,0,0,3,12.216666666666667
Crew_10386,6,0,0,0,0,0,0,0,0,0,0,0,0,4,15.933333333333332
Crew_10387,7,0,0,1,0,0,0,0,0,0,0,0,0,4,24.866666666666667
Crew_10388,6,0,0,0,0,0,0,0,0,0,0,0,0,4,14.883333333333333
Crew_10389,6,0,0,0,0,0,0,0,0,0,0,0,0,4,24.56666666666667
Crew_10390,5,0,0,0,0,0,0,0,0,0,0,0,0,4,18.633333333333333
Crew_10391,3,0,0,0,0,0,0,0,0,0,2,0,0,6,14.416666666666664
Crew_10392,4,0,0,0,0,0,0,0,0,0,0,0,0,4,15.18333333333333
Crew_10393,5,0,0,0,0,0,0,0,0,0,0,0,0,4,11.6
Crew_10394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.7666666666666675
Crew_10395,5,0,0,0,0,0,0,0,0,0,0,0,0,4,10.483333333333334
Crew_10397,4,0,0,0,0,0,0,0,0,0,0,0,0,4,16.133333333333333
Crew_10398,7,0,0,0,0,0,0,0,0,0,0,0,0,4,9.983333333333333
Crew_10400,5,0,0,0,0,0,0,0,0,0,0,0,0,4,16.666666666666668
